Player,Age,Team,Position,Games,Games Started,Avg minutes played,Avg field goal,Avg field goal attempts,Field goal percentage,avg three points made,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mark Sears,23,MIL,PG,7,0,3.7,0.9,1.9,0.462,0.6,1.1,0.5,0.3,0.7,0.4,0.615,0.9,1.1,0.75,0.1,0.1,0.3,0.3,0,0,0.6,0.6,3.1
Ben Sheppard,24,IND,SG,26,11,24.2,2.5,6.5,0.379,1.2,3.8,0.323,1.2,2.7,0.457,0.473,0.7,0.8,0.81,0.7,3,3.8,1.8,0.7,0.1,0.6,1.9,6.8
Dalen Terry,23,CHI,SG,22,0,10.8,1.1,2.6,0.439,0.3,1,0.261,0.9,1.5,0.559,0.491,0.1,0.3,0.429,0.5,1.1,1.6,1.2,0.6,0.3,0.6,1.1,2.7
Ethan Thompson,26,IND,SG,15,5,17.5,1.7,4.5,0.388,1,3.1,0.319,0.7,1.3,0.55,0.5,0.3,0.4,0.667,0.7,1.2,1.9,1.5,0.5,0.3,0.6,2.2,4.7
Jordan Walsh,21,BOS,PF,31,20,19.7,2.5,4.4,0.574,0.9,1.9,0.466,1.6,2.5,0.654,0.673,0.8,1,0.806,1.5,3.3,4.7,0.9,1,0.5,0.6,2.5,6.7
Kenrich Williams,31,OKC,PF,18,0,13.4,2.1,4.1,0.507,0.8,1.9,0.4,1.3,2.1,0.605,0.603,0.2,0.6,0.4,0.7,1.9,2.6,1.7,0.6,0.1,0.6,0.9,5.1
Precious Achiuwa,26,SAC,C,30,17,19.8,3,6.1,0.489,0.3,1,0.323,2.6,5,0.523,0.516,0.9,1.8,0.491,1.8,3.6,5.4,1.1,0.8,0.4,0.5,1.7,7.2
Charles Bassey,25,MEM,C,2,0,15.5,1.5,4,0.375,0,0,,1.5,4,0.375,0.375,0.5,1.5,0.333,3.5,4,7.5,1,0.5,0.5,0.5,2.5,3.5
Kobe Brown,26,LAC,PF,24,0,10.1,1,2.8,0.379,0.4,1.8,0.238,0.6,1,0.625,0.455,0.7,0.8,0.85,0.5,1.2,1.8,0.9,0.3,0.1,0.5,0.5,3.2
Clint Capela,31,HOU,C,31,1,11.5,1.7,3.1,0.536,0,0,,1.7,3.1,0.536,0.536,0.4,0.8,0.5,2.5,2.1,4.6,0.5,0.5,0.7,0.5,0.9,3.7
Justin Champagnie,24,WAS,SF,34,9,17.4,2.5,5,0.491,0.6,1.9,0.323,1.9,3.1,0.594,0.553,1,1.4,0.708,2.1,3.4,5.4,1,0.7,0.6,0.5,1.7,6.6
Gradey Dick,22,TOR,SG,38,0,15.6,2,5,0.403,0.9,2.7,0.32,1.2,2.3,0.5,0.49,1.2,1.4,0.846,0.4,1.5,1.9,0.6,0.7,0.1,0.5,1.3,6.1
Keon Ellis,26,SAC,SG,35,4,17.9,2,5.1,0.385,1.2,3.5,0.355,0.7,1.7,0.448,0.506,0.5,0.8,0.607,0.4,1,1.4,0.6,1.2,0.5,0.5,1.7,5.7
Trentyn Flowers,20,CHI,SF,2,0,3,1,1.5,0.667,0,0.5,0,1,1,1,0.667,0,0,,0.5,0,0.5,0.5,0,0,0.5,0.5,2
Johnny Furphy,21,IND,SG,19,5,15.2,1.9,3.7,0.521,0.6,1.8,0.314,1.4,1.9,0.722,0.599,0.3,0.6,0.417,0.8,2.4,3.2,0.5,0.5,0,0.5,1.6,4.7
Eric Gordon,37,PHI,SG,6,0,12.3,2,3.5,0.571,1.3,2.3,0.571,0.7,1.2,0.571,0.762,0.2,0.3,0.5,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,5.5
Jaxson Hayes,25,LAL,C,30,4,17.3,2.5,3.2,0.779,0,0,1,2.4,3.1,0.777,0.784,1.2,1.8,0.667,1.4,2.7,4,0.9,0.4,0.6,0.5,2,6.2
Chucky Hepburn,22,TOR,PG,2,0,6.5,0,3,0,0,2.5,0,0,0.5,0,0,0,0,,0,0.5,0.5,1,0.5,0,0.5,1,0
Trayce Jackson-Davis,25,GSW,C,26,1,13.2,1.9,3.2,0.59,0,0,,1.9,3.2,0.59,0.59,1,1.7,0.605,1.6,2.3,3.9,1,0.3,0.7,0.5,1.3,4.8
Trey Jemison,26,NYK,C,6,0,6.3,0.5,0.5,1,0,0,,0.5,0.5,1,1,0.2,0.2,1,0.8,0.8,1.7,0.2,0,0.3,0.5,1,1.2
David Jones García,24,SAS,SF,11,0,6.2,1.2,2.3,0.52,0.3,0.5,0.6,0.9,1.8,0.5,0.58,0.3,0.5,0.5,0.4,0.8,1.2,1.6,0.5,0.1,0.5,0.5,2.9
DeAndre Jordan,37,NOP,C,2,1,11.5,2,2.5,0.8,0,0,,2,2.5,0.8,0.8,0.5,1,0.5,2,3,5,0,0,0,0.5,0.5,4.5
Miles Kelly,23,DAL,PG,2,0,5.5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0.5,1.5,2,0,0,0,0.5,1,1
